trial_counter,kappa_mean,kappa_std,alpha,booster,eta,lambda,lambda_bias,max_evals,nthread,num_round,objective,seed,silent,task
170,0.675535,0.006042,0.5,gblinear,0.63,3.55,0.1,200,2,190,reg:linear,2015,1,regression
171,0.680776,0.004972,0.16,gblinear,0.5,3.2,1.2,200,2,400,reg:linear,2015,1,regression
172,0.679539,0.004725,0.09,gblinear,0.72,2.7,0.5,200,2,480,reg:linear,2015,1,regression
173,0.679670,0.005566,0.02,gblinear,0.77,3.75,1.6,200,2,340,reg:linear,2015,1,regression
174,0.680889,0.005537,0.135,gblinear,0.24,3.45,1.3,200,2,500,reg:linear,2015,1,regression
175,0.679862,0.004479,0.055,gblinear,0.38,3.0,1.1,200,2,440,reg:linear,2015,1,regression
176,0.680154,0.005538,0.0,gblinear,0.58,5.0,1.7,200,2,310,reg:linear,2015,1,regression
177,0.680346,0.006370,0.145,gblinear,0.81,4.5,1.3,200,2,460,reg:linear,2015,1,regression
178,0.680830,0.005104,0.04,gblinear,0.33,4.8,1.0,200,2,360,reg:linear,2015,1,regression
179,0.680207,0.005907,0.17,gblinear,0.43,4.0,0.8,200,2,500,reg:linear,2015,1,regression
180,0.679121,0.005268,0.24,gblinear,0.47,3.3,0.4,200,2,240,reg:linear,2015,1,regression
181,0.681048,0.005473,0.075,gblinear,0.56,4.7,1.8,200,2,410,reg:linear,2015,1,regression
182,0.679800,0.005488,0.12,gblinear,0.08,4.35,0.9,200,2,440,reg:linear,2015,1,regression
183,0.680154,0.005018,0.1,gblinear,0.61,2.9,2.0,200,2,470,reg:linear,2015,1,regression
184,0.679536,0.005740,0.03,gblinear,0.89,3.65,1.4,200,2,290,reg:linear,2015,1,regression
185,0.668286,0.004443,0.065,gblinear,0.65,1.0,0.6,200,2,420,reg:linear,2015,1,regression
186,0.658049,0.004187,0.015,gblinear,0.19,2.55,1.1,200,2,10,reg:linear,2015,1,regression
187,0.679054,0.004909,0.085,gblinear,0.4,2.4,0.3,200,2,490,reg:linear,2015,1,regression
188,0.680040,0.005272,0.145,gblinear,0.12,3.1,0.8,200,2,430,reg:linear,2015,1,regression
189,0.680850,0.004982,0.05,gblinear,0.53,4.05,2.4,200,2,320,reg:linear,2015,1,regression
190,0.677025,0.006121,0.395,gblinear,0.36,4.2,2.5,200,2,460,reg:linear,2015,1,regression
191,0.676932,0.006246,0.485,gblinear,0.84,2.2,1.5,200,2,390,reg:linear,2015,1,regression
192,0.679941,0.006249,0.175,gblinear,0.67,4.6,1.6,200,2,480,reg:linear,2015,1,regression
193,0.679621,0.005753,0.2,gblinear,0.7,3.95,1.2,200,2,210,reg:linear,2015,1,regression
194,0.680735,0.004906,0.105,gblinear,0.73,3.85,0.7,200,2,350,reg:linear,2015,1,regression
195,0.677127,0.006283,0.42,gblinear,0.94,3.4,1.7,200,2,400,reg:linear,2015,1,regression
196,0.680694,0.005921,0.125,gblinear,0.79,4.45,1.0,200,2,450,reg:linear,2015,1,regression
197,0.681197,0.004998,0.06,gblinear,0.45,3.75,0.9,200,2,370,reg:linear,2015,1,regression
198,0.677311,0.003655,0.04,gblinear,0.01,4.3,1.4,200,2,490,reg:linear,2015,1,regression
199,0.678631,0.005616,0.0,gblinear,0.51,3.55,2.0,200,2,470,reg:linear,2015,1,regression
200,0.673436,0.004735,0.025,gblinear,0.59,1.85,1.9,200,2,270,reg:linear,2015,1,regression
